52,64,85,85,62,4,61,29,65,80,23,97,30,83,40,31,25,3,19,40,81,95,6,96,44,23,63,1,19,4,49,64,72,71,0,85,79,44,36,98,19,9,41,90,60,66,87,89,49,11,73,91,84,81,41,7,92,84,49,50,62,71,39,14,40,30,40,77,29,54,21,36,80,99,82,84,91,10,48,17,11,99,80,85,20,85,20,79,83,21,92,66,37,30,48,52,59,6,12,51
79,2,66,33,35,70,93,53,10,61,44,42,92,61,66,84,8,47,25,39,18,11,1,98,9,48,46,10,20,63,12,3,61,72,34,29,48,74,96,35,87,70,30,78,67,4,43,64,89,70,2,87,86,31,35,97,66,84,96,61,45,65,92,65,38,32,4,20,6,88,92,49,98,0,61,75,11,78,85,24,56,94,23,43,76,59,35,91,6,97,21,7,1,3,29,11,60,80,55,23
1,7,37,42,3,30,54,55,10,12,74,61,25,49,37,33,27,76,14,75,49,15,69,53,26,29,53,29,100,91,17,5,63,78,40,31,60,52,57,56,76,57,25,86,10,35,69,70,4,75,64,29,24,89,77,75,36,10,52,26,17,95,89,20,6,56,34,58,32,17,3,44,12,13,7,25,93,59,11,18,57,48,92,10,70,78,67,69,90,59,35,27,81,30,97,6,10,74,93,59
30,69,58,42,4,52,86,57,58,29,92,59,76,54,34,27,48,11,23,19,72,87,99,81,98,85,13,60,53,91,40,10,24,51,3,10,58,72,4,92,19,58,93,39,98,49,67,76,13,12,5,72,4,22,29,94,94,95,18,89,11,51,91,81,85,53,91,22,9,37,69,57,3,86,64,44,83,36,44,1,13,67,56,26,81,26,85,9,50,13,88,48,20,39,50,91,81,46,74,48
38,58,97,6,22,30,14,97,30,58,53,76,10,74,74,83,24,4,4,8,30,43,0,32,13,54,71,56,91,51,47,27,18,56,92,64,95,67,36,1,52,12,95,95,23,1,35,76,58,62,15,71,78,74,45,65,52,90,62,37,22,13,85,92,73,38,6,34,94,40,29,35,37,77,92,17,24,1,15,90,63,52,0,77,40,10,55,2,15,6,56,30,80,79,41,14,96,92,31,1
11,46,10,81,69,46,19,29,43,1,27,28,68,41,83,54,9,5,1,36,84,46,69,10,100,92,0,71,38,17,85,40,65,18,64,66,63,86,1,88,86,25,89,72,52,74,44,76,48,47,4,30,22,66,4,34,98,83,6,7,49,12,84,6,80,7,66,85,38,45,59,75,80,28,25,41,73,1,38,1,41,24,96,21,55,11,92,72,19,95,76,46,45,80,11,70,2,73,78,83
39,45,47,33,3,83,35,89,85,84,67,19,4,6,87,45,85,52,82,40,72,15,82,28,97,1,58,25,66,26,27,74,90,38,63,60,41,71,70,84,76,76,82,82,89,57,15,32,99,43,57,38,86,57,91,54,35,80,23,15,96,41,87,95,77,48,47,54,79,4,43,65,69,71,26,21,46,96,52,12,2,43,65,76,88,85,11,22,54,38,87,42,33,81,33,40,35,81,3,39
92,70,84,16,57,91,15,24,97,0,83,69,29,95,83,51,36,28,12,66,70,79,68,17,76,40,77,13,70,99,100,66,90,80,89,84,71,56,21,94,60,3,37,74,3,69,65,18,40,8,23,82,9,49,38,11,16,86,1,91,92,1,52,33,75,91,35,98,85,30,6,71,21,82,17,85,96,87,46,38,69,99,96,16,6,69,66,12,75,49,3,57,98,26,19,78,79,8,17,43
8,72,93,27,8,10,100,85,84,0,0,89,8,98,74,30,9,94,90,70,2,31,55,75,20,23,89,100,91,48,53,31,64,3,89,57,44,35,69,47,98,88,25,43,32,53,13,35,78,78,10,61,35,48,7,65,5,72,57,22,100,21,11,16,77,78,25,91,37,31,32,68,53,83,53,52,8,36,2,33,25,86,82,36,90,27,6,2,44,89,45,26,58,13,76,81,82,14,44,98
99,81,52,26,74,79,62,17,66,1,28,66,61,23,25,28,81,13,61,43,23,73,72,61,70,58,7,49,47,32,2,29,54,17,1,96,98,46,96,54,20,90,16,85,56,34,87,43,86,17,83,82,93,5,41,5,87,89,99,75,95,16,44,94,0,100,99,69,75,80,35,56,23,28,95,51,60,46,40,65,85,9,28,79,84,2,6,89,24,56,93,93,5,89,14,46,45,74,9,6
29,86,21,92,92,72,17,0,93,0,25,84,45,17,89,62,78,61,23,60,13,30,14,28,41,52,26,24,94,34,72,1,46,15,81,30,41,16,72,53,34,94,1,78,89,76,92,60,77,73,77,97,50,23,50,77,41,90,84,6,63,50,54,39,50,2,4,14,6,15,88,23,1,22,41,22,60,34,33,1,94,3,47,31,69,33,74,32,52,57,42,85,42,48,87,27,1,45,56,35
93,68,19,66,98,78,85,33,57,30,31,54,37,81,27,74,86,62,91,17,21,81,42,93,11,76,88,84,8,99,93,17,61,31,100,18,54,33,82,83,31,38,64,66,40,62,49,71,62,95,34,0,8,66,52,56,10,63,91,54,52,14,16,17,63,1,1,18,11,21,31,38,44,6,48,26,37,7,29,71,41,77,96,95,34,23,20,82,95,94,73,30,84,6,68,41,68,52,72,0
9,86,64,69,41,73,48,20,37,55,1,69,88,67,5,77,31,95,50,26,95,100,20,55,54,38,17,57,29,71,35,7,100,65,77,20,65,24,76,60,67,48,25,73,95,61,59,51,65,57,77,66,77,98,74,36,11,59,8,93,24,39,68,44,37,1,2,51,65,55,31,49,86,75,2,67,100,100,9,22,83,56,18,63,34,88,25,95,41,73,0,41,63,99,93,96,50,58,10,2
70,58,51,62,45,90,16,16,13,49,1,30,66,98,87,70,73,34,36,78,100,22,26,15,27,3,10,64,72,13,41,7,63,97,20,20,55,83,44,56,21,61,48,73,27,98,67,33,33,69,61,48,0,32,63,90,35,72,86,58,43,26,17,10,10,69,98,35,81,60,78,64,0,99,83,41,84,6,24,80,95,87,23,97,64,4,6,14,86,56,67,69,74,54,68,58,3,59,97,93
49,39,42,24,26,10,94,90,60,3,0,82,76,48,62,59,45,18,37,8,82,70,55,65,63,24,0,65,41,99,44,82,92,49,40,75,82,80,0,1,82,13,49,15,24,54,77,17,39,0,5,52,63,6,48,86,52,35,23,35,81,61,55,50,56,0,65,7,17,83,97,73,5,18,50,60,34,51,50,30,31,61,69,42,14,99,19,65,22,76,30,62,80,86,29,46,56,44,89,31
80,88,70,47,86,21,71,83,58,6,63,89,79,81,12,58,3,16,11,73,91,77,66,57,72,82,45,31,23,22,68,20,38,30,53,65,64,61,66,94,57,85,77,92,73,33,44,52,45,75,36,26,50,71,13,0,95,9,64,74,79,38,98,29,0,44,45,30,19,47,73,88,43,88,100,42,21,27,77,90,7,39,21,18,34,2,21,81,91,74,71,98,17,97,96,11,4,41,98,73
37,34,92,99,89,56,36,75,20,49,29,27,2,66,81,2,96,24,5,96,55,28,21,1,68,52,61,11,49,38,58,75,81,94,80,88,1,13,86,89,3,48,67,90,0,35,77,22,63,48,58,20,36,71,28,32,88,41,41,98,49,55,36,38,99,68,34,42,14,11,68,75,18,98,72,13,86,16,63,33,15,100,84,7,53,92,5,95,54,37,67,60,47,29,19,81,98,11,30,42
11,18,16,22,81,89,26,12,67,28,23,39,96,81,1,85,0,54,76,54,2,52,63,4,92,3,59,42,33,32,15,59,48,27,57,7,61,61,42,86,61,39,29,58,49,10,7,43,37,22,38,69,29,20,83,43,2,73,6,92,17,4,7,85,65,71,1,73,50,20,28,46,10,93,29,5,98,82,98,77,97,31,100,56,11,16,87,56,94,79,73,78,7,3,19,90,92,86,100,84
0,76,77,51,46,18,43,37,10,75,83,99,90,91,48,87,6,22,55,48,73,23,49,67,89,1,85,98,70,91,50,78,19,20,47,99,54,39,71,75,26,45,85,38,7,38,88,52,20,45,74,15,35,31,76,0,58,82,20,82,19,11,10,58,88,51,69,39,12,72,41,19,18,83,72,12,45,40,81,89,79,20,33,36,47,51,25,81,0,19,62,5,24,57,3,87,24,61,39,64
19,57,86,4,69,24,24,26,7,62,22,100,86,96,18,39,92,93,58,28,22,68,70,33,86,73,84,63,60,64,70,71,18,96,69,75,96,38,14,21,68,5,13,64,14,88,87,32,48,46,73,44,98,40,9,38,50,17,1,29,59,5,13,25,62,66,89,43,11,39,26,27,99,98,31,6,67,86,16,3,41,78,3,34,50,33,15,77,28,54,100,98,26,47,100,45,5,13,19,42
65,10,22,13,37,10,29,1,74,80,51,4,75,20,3,97,13,14,45,41,8,76,82,16,28,31,16,67,32,80,43,17,23,44,41,98,97,76,27,90,43,75,84,19,43,13,79,24,46,93,39,29,18,56,24,5,78,51,0,45,37,4,86,33,90,90,3,76,47,60,56,41,13,19,65,15,22,30,84,33,24,96,4,73,92,61,27,65,66,78,50,88,31,71,79,80,33,57,11,34
13,12,91,42,1,60,35,35,27,43,49,95,36,92,92,43,86,29,97,23,62,38,63,60,14,1,86,61,64,91,20,76,68,6,49,35,2,92,75,35,37,69,43,21,35,42,54,59,16,94,8,54,58,68,72,52,91,46,6,66,3,79,82,99,23,76,45,92,41,59,42,69,84,0,56,47,89,12,23,21,76,28,27,40,22,18,8,23,63,59,82,60,80,38,100,8,65,68,87,54
73,18,92,90,28,70,51,74,49,49,42,78,97,76,79,79,47,82,79,90,98,1,50,93,17,2,44,28,48,55,82,24,44,55,72,29,17,4,52,70,19,95,52,65,77,44,62,94,53,58,83,4,97,63,48,70,42,85,32,16,66,86,50,60,23,90,89,60,62,11,49,24,36,51,29,24,78,20,97,47,86,26,94,93,77,76,24,87,54,68,85,67,48,58,64,57,85,27,49,49
